language,encoder,definition_gen_model,metric,space,spearman,timestamp,other
swedish,swedish_MegatronBERT,gemini25pro,amd,pca,0.487,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd_sym,pca,0.219,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd_opt_sym,pca,0.233,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,prt,def,0.172,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,apd,def,0.276,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd,def,0.588,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd_sym,def,0.339,2026-01-29 14:05:38,
swedish,swedish_MegatronBERT,gemini25pro,amd_opt_sym,def,0.313,2026-01-29 14:05:38,
latin,xll,gemini25pro,prt,full,0.467,2026-01-29 14:05:51,
latin,xll,gemini25pro,apd,full,-0.035,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd,full,0.033,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd_sym,full,0.22,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd_opt_sym,full,0.21,2026-01-29 14:05:51,
latin,xll,gemini25pro,prt,pca,0.009,2026-01-29 14:05:51,
latin,xll,gemini25pro,apd,pca,0.443,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd,pca,0.344,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd_sym,pca,0.463,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd_opt_sym,pca,0.479,2026-01-29 14:05:51,
latin,xll,gemini25pro,prt,def,0.317,2026-01-29 14:05:51,
latin,xll,gemini25pro,apd,def,-0.196,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd,def,0.121,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd_sym,def,0.155,2026-01-29 14:05:51,
latin,xll,gemini25pro,amd_opt_sym,def,0.189,2026-01-29 14:05:51,
latin,xlmr,gemini25pro,prt,full,0.5,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,apd,full,0.027,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd,full,0.264,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd_sym,full,0.321,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd_opt_sym,full,0.35,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,prt,pca,0.0,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,apd,pca,0.505,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd,pca,0.365,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd_sym,pca,0.438,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd_opt_sym,pca,0.425,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,prt,def,0.187,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,apd,def,0.019,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd,def,0.17,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd_sym,def,0.251,2026-01-29 14:06:03,
latin,xlmr,gemini25pro,amd_opt_sym,def,0.19,2026-01-29 14:06:03,
latin,rembert,gemini25pro,prt,full,0.523,2026-01-29 14:06:15,
latin,rembert,gemini25pro,apd,full,-0.209,2026-01-29 14:06:15,
latin,rembert,gemini25pro,amd,full,0.161,2026-01-29 14:06:15,
